# List of Planets to be simulated at start time: 2024-00-01T12:00:00 
# name PosX[Au] PosY[Au] PosZ[Au] VelX[m/s] VelY[m/s] VelZ[m/s]
Mercury -0.29352124055986994 0.15442674801186515 0.11259790258835439 -36880.580939077685 -35490.12322526253 -15134.428045208642
Venus -0.7221200657807026 -0.09820330475941969 0.001268712321082297 4012.2532166692954 -31768.40365494277 -14547.903077170235
Earth -0.18247203550240557 0.8851343928530063 0.38392435652463 -29792.062377663133 -4964.168343187524 -2151.7955965487
Mars -0.2941866363887969 -1.3255288545044295 -0.5999700052291439 24693.281204453255 -2140.7850869821505 -1647.7408841891843
Jupiter 3.48246223235037 3.2984718191970486 1.3290673407721432 -9478.338380621848 8888.42379431389 4040.5961921722296
Saturn 8.989018322208022 -3.293152014855436 -1.747408857356362 3151.430570890149 8284.198977632328 3286.0602572907424
Uranus 12.261465228476608 14.076712740960076 5.991790134176245 -5363.889670933692 3582.9201010169627 1645.0793714708655
Neptune 29.835106480733135 -1.3855253420042266 -1.309889197303869 289.98966189305224 5054.734050158789 2061.7109898984804
